model,accuracy,balanced_accuracy,fail_precision,fail_recall,fail_f1,roc_auc,average_precision,threshold
threshold_0.05,0.08619313647246608,0.5050870147255689,0.06688417618270799,0.9879518072289156,0.1252864782276547,0.7320049428483164,0.21696949536633955,0.05
threshold_0.10,0.20750199521149243,0.5532540418082587,0.07397003745318352,0.9518072289156626,0.1372719374456994,0.7320049428483164,0.21696949536633955,0.1
threshold_0.15,0.41899441340782123,0.6273246833487798,0.09125475285171103,0.8674698795180723,0.1651376146788991,0.7320049428483164,0.21696949536633955,0.15000000000000002
threshold_0.20,0.6041500399042299,0.6481155390793945,0.10964083175803403,0.6987951807228916,0.1895424836601307,0.7320049428483164,0.21696949536633955,0.2
threshold_0.25,0.7366320830007981,0.6798784883122233,0.14613180515759314,0.6144578313253012,0.2361111111111111,0.7320049428483164,0.21696949536633955,0.25
threshold_0.30,0.8172386272944933,0.6558799299763155,0.17410714285714285,0.46987951807228917,0.254071661237785,0.7320049428483164,0.21696949536633955,0.3
threshold_0.35,0.8683160415003991,0.6272628977448255,0.20714285714285716,0.3493975903614458,0.2600896860986547,0.7320049428483164,0.21696949536633955,0.35000000000000003
threshold_0.40,0.8954509177972865,0.5634383688600556,0.19230769230769232,0.18072289156626506,0.18633540372670807,0.7320049428483164,0.21696949536633955,0.4
threshold_0.45,0.9162011173184358,0.5521624961383997,0.25,0.13253012048192772,0.1732283464566929,0.7320049428483164,0.21696949536633955,0.45
threshold_0.50,0.922585794094174,0.5387910616826279,0.26666666666666666,0.0963855421686747,0.1415929203539823,0.7320049428483164,0.21696949536633955,0.5
threshold_0.55,0.9345570630486831,0.5340078261765009,0.5454545454545454,0.07228915662650602,0.1276595744680851,0.7320049428483164,0.21696949536633955,0.55
threshold_0.60,0.9361532322426177,0.5236690351148182,0.8,0.04819277108433735,0.09090909090909091,0.7320049428483164,0.21696949536633955,0.6000000000000001
threshold_0.65,0.9345570630486831,0.5060240963855421,1.0,0.012048192771084338,0.023809523809523808,0.7320049428483164,0.21696949536633955,0.6500000000000001
threshold_0.70,0.9337589784517158,0.5,0.0,0.0,0.0,0.7320049428483164,0.21696949536633955,0.7000000000000001
threshold_0.75,0.9337589784517158,0.5,0.0,0.0,0.0,0.7320049428483164,0.21696949536633955,0.7500000000000001
threshold_0.80,0.9337589784517158,0.5,0.0,0.0,0.0,0.7320049428483164,0.21696949536633955,0.8
threshold_0.85,0.9337589784517158,0.5,0.0,0.0,0.0,0.7320049428483164,0.21696949536633955,0.8500000000000001
threshold_0.90,0.9337589784517158,0.5,0.0,0.0,0.0,0.7320049428483164,0.21696949536633955,0.9000000000000001
threshold_0.95,0.9337589784517158,0.5,0.0,0.0,0.0,0.7320049428483164,0.21696949536633955,0.9500000000000001
