stage,model,balanced_accuracy_mean,balanced_accuracy_std,fail_recall_mean,fail_recall_std,fail_f1_mean,fail_f1_std,average_precision_mean,average_precision_std
baseline,Dummy Classifier,0.48962148962148966,0.022100037776672465,0.047619047619047616,0.041239304942116126,0.047619047619047616,0.041239304942116126,0.0664513989823667,0.001475012340349646
baseline,Logistic Regression,0.5540632207298873,0.015329149526351738,0.18077601410934743,0.03591783395840617,0.16318574213311055,0.02535795586261701,0.13008519599402668,0.009204025884492801
imbalance,LR + RandomOverSampler,0.5808302808302809,0.029161934184197397,0.25396825396825395,0.06873217490352687,0.19676010609109199,0.03335449567951617,0.12799320390863944,0.00666873821520574
imbalance,LR + SMOTE,0.5625322208655542,0.013346861211673998,0.2173721340388007,0.04043236321866666,0.1714703033012892,0.01412929145412296,0.12857703092272565,0.007042715923366054
imbalance,LR + class_weight,0.5786935286935287,0.028703398920674777,0.25396825396825395,0.06873217490352687,0.19211098325022377,0.03186296134844165,0.13010365722033765,0.009454706669241798
classical,HistGradientBoosting,0.5,0.0,0.0,0.0,0.0,0.0,0.20287149558648962,0.027326003382475848
classical,LR + class_weight,0.5786935286935287,0.028703398920674777,0.25396825396825395,0.06873217490352687,0.19211098325022377,0.03186296134844165,0.13010365722033765,0.009454706669241798
classical,Random Forest,0.5,0.0,0.0,0.0,0.0,0.0,0.20177696010417442,0.09461532114579062
feature_reduction,HGB + SelectKBest(100),0.5095611178944512,0.009395586618153049,0.024250440917107582,0.02101190927238775,0.04301075268817204,0.03724840446384682,0.1506872404891905,0.016981321564163647
feature_reduction,LR + KernelPCA(50),0.6150963234296567,0.04539331291809523,0.49514991181657847,0.12285457176321256,0.18819240487193886,0.031380044301389715,0.155289046417304,0.05550514321349385
feature_reduction,LR + PCA(50),0.605932030932031,0.06456690024836194,0.4828042328042328,0.13998059230318446,0.181394968036653,0.04796779885935749,0.14776396663303784,0.037144399033490885
feature_reduction,RF + SelectKBest(100),0.5106227106227107,0.009221843611927065,0.023809523809523808,0.020619652471058063,0.043727598566308236,0.037884473868742115,0.17581548349193002,0.034948403737755436
